name,games played,wins,losses,last_played,ts_elo,ts_mu,ts_sigma
KIPSINAS,280,151,129,2022-02-19,1452.701120659166,21.000880774301084,2.7743655492359043
LEO,2,0,2,2020-04-21,1459.5049388711627,21.194780823269166,7.062396426871979
LILL_LENIN,26,15,11,2019-05-10,1520.0554184242783,22.920391441390635,3.5077598134389496
LISEK,6,0,6,2019-04-01,1161.1699757876734,12.692618927059097,6.3905607397162605
LORD SHIFTY,5,3,2,2020-12-27,1254.9086233105843,15.364049553004618,6.784987546658616
LORDURY,5,2,3,2020-02-21,1480.757786791653,21.800459594231622,6.327284486367576
LTUNDERPANTS,174,76,98,2020-06-14,1662.096054487677,26.968366479816506,1.7074489723419217
MAJOR TOM,203,81,122,2023-03-12,1320.663872586091,17.237989399302663,6.86685157411047
MATRIN,258,141,117,2020-07-01,1670.2989524519967,27.20213849832183,1.5192890929156253
MISTER MAF,743,338,405,2024-01-31,1332.5321636565789,17.57622039666784,2.0604301586212816
MORKA,379,213,166,2024-01-31,1776.9019109505557,30.240185405066935,1.1650296156455913
MYSTHALIN,142,85,57,2020-04-17,1805.3369907950523,31.050548528017135,2.222663955061834
N8D0G,2,2,0,2020-03-14,1771.1296502803716,30.075683416370104,6.864437812453674
NAPOLEON BONAPARTE,3,2,1,2020-03-06,1699.4479987296268,28.032848744318617,6.602800432072363
NECO_SPRING,5,3,2,2021-06-24,1231.099514471492,14.685520640864343,5.582298642367396
NIGHTRAIN,1,0,1,2019-06-26,1451.811845105988,20.975537567305444,7.596200729512081
NIKO,191,88,103,2020-02-22,1556.4664522267353,23.95805897119415,1.4845144986773107
NORMAC,13,5,8,2024-01-22,1207.5341209895882,14.013937302256563,7.224720595173395
O4B,1,1,0,2022-09-28,1660.1240244171363,26.912166164738988,7.649605598159465
OBSCURA,7,1,6,2020-05-17,1504.5737801779896,22.479184707094234,5.437956732474894
OCTAMURK,4,2,2,2019-04-09,1438.342375424142,20.591675043424527,6.809395978648301
OHSLOWPOKE,72,21,51,2020-01-30,1342.538634413807,17.8613919149784,3.7197037614918016
OLAZAIKA,50,24,26,2020-01-25,1565.095081077423,24.20396377119683,3.3117073712747644
OMGNIKO,93,43,50,2021-05-11,1530.251744349203,23.210973587258568,1.8195827150191102
OTTO VON SAXONY,420,223,197,2023-03-23,1669.0353976868073,27.16612881622714,2.5987327716912976
PATRICIAN,14,5,9,2024-01-31,1180.669229165117,13.248322513915767,3.7799857196927444
PERUSPUMMI,1,0,1,2021-02-03,1505.7675196225523,22.513204742542516,7.38125997604136
PER_NUDER,141,92,49,2020-01-15,1714.6096696771488,28.46493682303577,2.810153207615416
PINKPREDATOR,565,259,306,2024-01-31,1423.2160197995886,20.160593405890786,1.7147105865001964
PROPER CLARIFICATION,8,2,6,2019-05-17,1348.018541403233,18.017562200615476,4.997830844889944
PROPER INITIATION,78,39,39,2019-05-12,1579.0425969449539,24.601449995171595,2.1143049363333275
PUNKMASTER,2,1,1,2021-02-01,1601.7739215707231,25.24926344648844,7.178771303112087
RAWKFISTOMG,126,66,60,2023-03-14,1644.4323284033726,26.46497305483253,4.04300973376781
RAZOR,382,243,139,2023-11-18,1609.4665070039725,25.46849221564752,5.128234812556736
ROBIEMAN,706,399,307,2021-07-09,1791.9715148686057,30.66964969211789,1.4528534885636977
RUNZOMBIE,253,123,130,2024-01-30,1310.7433622274357,16.955267641549074,1.4546934241374276
RYEASSASSIN,580,262,318,2024-01-27,1314.7943123915645,17.070714499580472,1.5377127297635182
SAAVEDRA,424,206,218,2024-01-07,1532.8567840503217,23.285213860862605,2.089795941136098
SAINT,31,11,20,2020-07-18,1313.1056329816076,17.02258931309259,4.217483235433498
SAME,1,1,0,2019-04-22,1624.6200550991452,25.90034880354301,8.05272038689698
SDAUZ,70,31,39,2023-09-24,1345.958383167106,17.958850346415332,6.70042875044291
SENECA,18,6,12,2020-06-17,1296.121931633706,16.538575716548994,3.383534010300555
SHABTAJUS,449,278,171,2023-03-24,1671.0389686015733,27.223228004709146,4.818491766396536
SHARPG,43,22,21,2023-05-04,1429.2366022667547,20.33217224571656,2.3088313343511966
SIGISMUND,50,18,32,2021-02-18,1290.6142165557374,16.381612936232887,3.701897799694861
SIRAEL,2,0,2,2022-10-19,1292.9506022067044,16.44819691570077,6.413546960591181
SIRPANTALOONS,256,125,131,2020-05-25,1686.6199009621855,27.667264493274356,1.4395026179338457
SKAFFA,226,148,78,2022-10-14,1907.508958035833,33.96231789543214,2.5488138092000288
SLOWZO,34,14,20,2021-04-25,1441.3830720035216,20.67833097650034,3.99730368747672
SNAKE,186,73,113,2024-01-30,1124.7695632765133,11.655254090366777,2.2687503347507905
SNARKS,161,80,81,2020-07-25,1687.9927004583342,27.706387509385696,1.508865978908936
SNK12HD,789,422,367,2023-12-31,1839.9015803220937,32.03559477602499,1.3511473040873263
SOLOWINGPIXY,16,4,12,2023-02-03,1138.4903505576394,12.046278841880563,3.9361792812309484
